video,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
8,video_time,Video--time prior,428,32.66822429906542,20.731308411214954,44.60514018691589,1953.161214953271,0.4109743401877906,-0.02239897749735798,0.34028403119226613,-0.010302871506561954
8,physiology,Physiological branch,428,45.592289719626166,47.679906542056074,43.504672897196265,2727.1343457943926,0.057625578315053064,0.4364660506605794,0.009182890152272995,0.10040779026151887
8,fixed_fusion,Fixed fusion,428,32.47196261682243,20.567757009345794,44.376168224299064,1924.8691588785048,0.4115097022339902,-0.003903229891196714,0.3406145905688775,-0.001676970933821918
9,global_constant,Global constant,280,44.04642857142857,49.56785714285714,38.525,2837.3214285714284,nan,nan,0.0,0.0
9,video_identity,Video identity,280,28.978571428571428,27.310714285714287,30.646428571428572,1459.9535714285714,nan,nan,0.0,0.0
9,video_time,Video--time prior,280,12.007142857142858,8.817857142857143,15.196428571428571,294.29285714285714,0.9191768026408128,0.8384696064628889,0.9134044176662878,0.8246700641502681
9,physiology,Physiological branch,280,47.392857142857146,56.114285714285714,38.67142857142857,3303.510714285714,-0.06405771335725667,-0.11865212674110613,-0.010137745367648738,-0.03860121199671823
9,fixed_fusion,Fixed fusion,280,11.714285714285714,8.685714285714285,14.742857142857142,286.96785714285716,0.9194449800090296,0.8328989987197213,0.9128839970308864,0.8164719011181526
10,global_constant,Global constant,240,28.485416666666666,31.591666666666665,25.379166666666666,1373.94375,nan,nan,0.0,0.0
10,video_identity,Video identity,240,28.510416666666668,31.725,25.295833333333334,1401.8520833333334,nan,nan,0.0,0.0
10,video_time,Video--time prior,240,24.722916666666666,30.616666666666667,18.829166666666666,1149.84375,0.265834076701847,0.3547865211519866,0.0437918083740625,0.31637739558093825
10,physiology,Physiological branch,240,29.408333333333335,28.575,30.241666666666667,1438.4125,0.1257934584573708,-0.39041905167290575,0.04433074874626121,-0.1274841875856103
10,fixed_fusion,Fixed fusion,240,24.98125,30.608333333333334,19.354166666666668,1153.3395833333334,0.26623947352346267,0.33911872688866684,0.043941400203160626,0.2861948007518318
11,global_constant,Global constant,244,59.25819672131148,64.64754098360656,53.868852459016395,5473.040983606557,nan,nan,0.0,0.0
11,video_identity,Video identity,244,41.61065573770492,46.58196721311475,36.63934426229508,2199.5,nan,nan,0.0,0.0
11,video_time,Video--time prior,244,35.385245901639344,39.09016393442623,31.68032786885246,1734.3811475409836,0.3999961821138789,0.47732900235694886,0.33056568887037935,0.35698614548723545
