relative_time_bin,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
6,physiology,Physiological branch,619,50.31421647819063,53.39418416801293,47.23424878836833,3408.3836833602586,0.18427604391101238,0.08963477624744288,0.05551345310994625,0.025972229298173003
6,fixed_fusion,Fixed fusion,619,32.623586429725364,28.339256865912763,36.90791599353796,1839.7172859450727,0.8399075662083186,0.569077311212051,0.8365392498877774,0.551757482793643
7,global_constant,Global constant,609,53.05418719211823,56.972085385878486,49.13628899835796,3638.998357963875,nan,nan,0.0,0.0
7,video_identity,Video identity,609,32.39244663382594,28.72906403940887,36.05582922824302,1764.0131362889983,0.836922230756637,0.5780195680833679,0.8367345582923758,0.5583554085483068
7,video_time,Video--time prior,609,34.09688013136289,30.151067323481115,38.04269293924467,1936.0525451559934,0.8416338091889656,0.58369823507627,0.8375319872629939,0.5783295994594635
7,physiology,Physiological branch,609,50.95566502463054,54.83087027914614,47.08045977011494,3512.4679802955666,0.18024297630629385,0.09962878289332307,0.051349414456749794,0.028321334345540163
7,fixed_fusion,Fixed fusion,609,33.36371100164204,29.87192118226601,36.85550082101806,1850.6182266009853,0.8418055443100927,0.5839308073403262,0.8384525992912454,0.5737649447984791
8,global_constant,Global constant,615,54.291056910569104,57.78373983739837,50.798373983739836,3822.8943089430895,nan,nan,0.0,0.0
8,video_identity,Video identity,615,33.708943089430896,30.951219512195124,36.46666666666667,2020.6829268292684,0.7855006624248563,0.5960350539100042,0.7833971126746347,0.5720345696660466
8,video_time,Video--time prior,615,35.19593495934959,31.983739837398375,38.40813008130081,2133.9731707317073,0.7941453390269498,0.6107835885815084,0.7911718126268077,0.6023323184768593
8,physiology,Physiological branch,615,52.14878048780488,54.96910569105691,49.328455284552845,3686.9569105691057,0.2424001993821017,0.10071159203381906,0.06279080499558766,0.025639095888984432
8,fixed_fusion,Fixed fusion,615,34.447967479674794,31.70569105691057,37.19024390243902,2062.366666666667,0.7941815293218766,0.6109334735390646,0.7918503844889925,0.5949789917979117
9,global_constant,Global constant,596,52.435402684563755,55.988255033557046,48.88255033557047,3778.8095637583892,nan,nan,0.0,0.0
9,video_identity,Video identity,596,33.272651006711406,29.94463087248322,36.600671140939596,1824.1417785234898,0.8203145054198994,0.6140090612975896,0.8157591009297681,0.5873400268639202
9,video_time,Video--time prior,596,35.578859060402685,31.959731543624162,39.19798657718121,2058.0620805369126,0.8258715543760987,0.6295610663685727,0.8185350983241092,0.6152208077874016
9,physiology,Physiological branch,596,50.20637583892618,53.36744966442953,47.04530201342282,3603.9010067114095,0.31338583997876635,0.11650812680995339,0.08157287303177702,0.029941721629040848
9,fixed_fusion,Fixed fusion,596,34.8003355704698,31.746644295302012,37.854026845637584,1972.489932885906,0.8254875472262366,0.6297940010688785,0.8191329804428645,0.6108853391839056
